epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.6171,0.81933,4.21577,1.05371,0.81603,0.11061,0.19933,0.17839,0.48273,3.101,0.84052,6.003e-05,6.003e-05,6.003e-05
2,28.4444,0.797,2.74415,1.09393,0.47254,0.50118,0.42843,0.37537,0.58577,3.53605,0.86338,0.000124639,0.000124639,0.000124639
3,32.806,0.68764,2.40204,0.96309,0.47606,0.54966,0.6112,0.55602,0.52211,2.43319,0.84674,0.000187047,0.000187047,0.000187047
4,36.4704,0.63073,1.64798,0.9569,0.82998,0.66023,0.80984,0.71729,0.60179,1.63015,0.86324,0.000247254,0.000247254,0.000247254
5,40.0564,0.6379,1.22895,0.92601,0.58357,0.80401,0.80837,0.69414,0.57246,1.30847,0.87763,0.000305259,0.000305259,0.000305259
6,44.5261,0.70499,1.09107,0.9665,0.67627,0.77911,0.83789,0.72722,0.57866,1.16997,0.86911,0.000361064,0.000361064,0.000361064
7,48.0425,0.64203,1.13646,0.93043,0.83149,0.81252,0.93596,0.83861,0.54601,0.85397,0.87062,0.000414667,0.000414667,0.000414667
8,51.6815,0.62608,0.81877,0.9243,0.85543,0.90339,0.93984,0.85674,0.47957,0.69668,0.84014,0.00046607,0.00046607,0.00046607
9,55.5215,0.64025,0.76026,0.93299,0.86973,0.86716,0.9233,0.84367,0.48512,0.68212,0.85086,0.000515271,0.000515271,0.000515271
10,59.4222,0.62043,0.72044,0.9528,0.80162,0.86792,0.91523,0.82074,0.51929,0.87623,0.85903,0.000562271,0.000562271,0.000562271
11,62.8492,0.62451,0.7134,0.94952,0.83946,0.89617,0.92768,0.83391,0.52918,0.72473,0.84831,0.000556945,0.000556945,0.000556945
12,66.3947,0.60496,0.66282,0.92097,0.81775,0.91504,0.92799,0.82981,0.50493,0.74122,0.84273,0.00054594,0.00054594,0.00054594
13,70.8132,0.66822,0.70753,0.96752,0.87871,0.92126,0.93306,0.84028,0.5105,0.66467,0.85125,0.000534934,0.000534934,0.000534934
14,74.3274,0.57407,0.63715,0.91056,0.8828,0.94567,0.94211,0.8466,0.52743,0.58689,0.86255,0.000523928,0.000523928,0.000523928
15,77.8429,0.57473,0.52055,0.91827,0.91369,0.94597,0.94902,0.86127,0.50692,0.57128,0.86382,0.000512923,0.000512923,0.000512923
16,81.4832,0.58265,0.55074,0.91578,0.87088,0.93942,0.94582,0.84411,0.50719,0.5381,0.86247,0.000501917,0.000501917,0.000501917
17,85.6081,0.57172,0.51321,0.91741,0.90772,0.93363,0.95385,0.84197,0.51754,0.51516,0.85986,0.000490912,0.000490912,0.000490912
18,89.0041,0.55033,0.54622,0.8997,0.89812,0.95635,0.94478,0.8546,0.49187,0.55613,0.85979,0.000479907,0.000479907,0.000479907
19,92.441,0.60654,0.56902,0.93826,0.91644,0.96479,0.95642,0.86249,0.50879,0.53851,0.85625,0.000468901,0.000468901,0.000468901
20,96.9652,0.57398,0.53721,0.92106,0.91153,0.95321,0.95202,0.87962,0.47858,0.48084,0.8499,0.000457895,0.000457895,0.000457895
21,100.586,0.57683,0.54665,0.95082,0.89175,0.95207,0.94332,0.86133,0.47214,0.51509,0.8549,0.00044689,0.00044689,0.00044689
22,104.179,0.56091,0.51398,0.89316,0.88133,0.94389,0.94489,0.85584,0.50643,0.51946,0.85609,0.000435884,0.000435884,0.000435884
23,107.675,0.61493,0.5952,0.95551,0.9032,0.94488,0.94688,0.84464,0.50501,0.55246,0.85649,0.000424879,0.000424879,0.000424879
24,111.897,0.55529,0.47897,0.91358,0.91837,0.96088,0.9562,0.85755,0.48946,0.51465,0.84738,0.000413873,0.000413873,0.000413873
25,115.477,0.55123,0.48809,0.89724,0.916,0.95007,0.95862,0.86762,0.47779,0.50636,0.84179,0.000402868,0.000402868,0.000402868
26,118.872,0.54036,0.44902,0.93046,0.92234,0.92543,0.9556,0.86089,0.48461,0.52251,0.85836,0.000391862,0.000391862,0.000391862
27,123.019,0.54338,0.46565,0.92938,0.90995,0.92747,0.94838,0.83944,0.51552,0.56145,0.86746,0.000380857,0.000380857,0.000380857
28,126.762,0.53506,0.44632,0.91366,0.90263,0.94524,0.94065,0.84805,0.50113,0.56827,0.85325,0.000369851,0.000369851,0.000369851
29,130.19,0.62393,0.52891,0.97407,0.92935,0.95603,0.95448,0.86658,0.51234,0.52355,0.85747,0.000358846,0.000358846,0.000358846
30,133.624,0.52066,0.42131,0.90314,0.90906,0.9446,0.95102,0.86885,0.47097,0.51679,0.84391,0.00034784,0.00034784,0.00034784
31,137.761,0.56135,0.47034,0.90081,0.89951,0.9321,0.95695,0.87544,0.46716,0.51381,0.84821,0.000336835,0.000336835,0.000336835
32,141.299,0.56272,0.44741,0.91031,0.92684,0.96225,0.96621,0.87903,0.4763,0.48121,0.84839,0.000325829,0.000325829,0.000325829
33,144.688,0.51338,0.42383,0.89211,0.92159,0.96701,0.96911,0.88775,0.47321,0.45794,0.84478,0.000314824,0.000314824,0.000314824
34,148.921,0.50692,0.41694,0.89337,0.91126,0.97479,0.96643,0.88454,0.47173,0.47796,0.84063,0.000303818,0.000303818,0.000303818
35,152.77,0.5006,0.40349,0.88873,0.93095,0.97369,0.94828,0.86447,0.47659,0.47056,0.84403,0.000292813,0.000292813,0.000292813
36,156.248,0.48279,0.38163,0.87415,0.92587,0.9783,0.93646,0.84959,0.4756,0.45851,0.85191,0.000281807,0.000281807,0.000281807
37,159.781,0.47945,0.41056,0.88713,0.91455,0.97761,0.93688,0.8537,0.47383,0.46662,0.84806,0.000270802,0.000270802,0.000270802
38,164.127,0.50342,0.40144,0.90362,0.89986,0.97072,0.94032,0.85346,0.46228,0.49593,0.85239,0.000259796,0.000259796,0.000259796
39,167.823,0.4802,0.39061,0.89337,0.90568,0.95251,0.94476,0.86369,0.46142,0.51627,0.84974,0.000248791,0.000248791,0.000248791
40,171.32,0.4604,0.36494,0.86471,0.87439,0.95042,0.94294,0.86655,0.45453,0.54559,0.84219,0.000237785,0.000237785,0.000237785
41,175.544,0.48236,0.37407,0.88705,0.87307,0.94334,0.94464,0.85018,0.4741,0.56395,0.85109,0.00022678,0.00022678,0.00022678
